option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,model_residual,residual_threshold_metric,residual_reward_abs,residual_gamma_l1,residual_hit_l1,residual_backup_raw,residual_backup_value,residual_backup_value_norm,residual_reward_per_discounted_step,residual_gamma_relative,residual_tau_relative,value_scale_task,beta_row,l_gamma_row,expected_tau_global,expected_tau_residual,struct_hidden_prob,struct_hit_prob,struct_nohit_prob,struct_reference_prob,struct_hidden_norm,struct_hidden_bits,struct_hidden_distinct,struct_hidden_distinct_bits,struct_distinct_argmax_state,struct_distinct_argmax_coord,struct_distinct_argmax_score,struct_distinct_scores,residual_hidden_mass,residual_hidden_gamma_mass,residual_argmax_state,residual_argmax_coord,residual_argmax_prob,reward,policy_occupancy,map,slip,step
fb_001_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,0.999999999999997,0.0,0.0,,,0.0,2.969813937889218,63,"(6, 19)",1.017021309114977,1.3328148050908424,1.3328148050908424,19.794144024558808,0.3431076038629019,0.999999999999997,20.13725162842171,27.687862877907545,1.8320777035285833,0.9039902489795749,1.0,0.9164217347812815,23.006540118833655,0.3431076038629019,21.896413204569914,36.59587006308874,2.142197599261311,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,0.0,0.9999999999999998,39.86313713864835,12.966122478284957,76.43104130885013,57,"(5, 19)",0.9827638358955852,"{""4"": 0.9827586206896523, ""5"": 0.9827586206896527, ""11"": 0.9827586206896537, ""12"": 0.9827586206896539, ""16"": 0.9827586206896539, ""23"": 0.017241379310344782, ""25"": 0.017241379310344786, ""26"": 0.9827586206896523, ""28"": 0.9827586206896525, ""29"": 0.0002972667656958334, ""31"": 0.0002972651886924814, ""32"": 0.9827586206896537, ""34"": 0.9827586206896539, ""35"": 0.9827586206901487, ""37"": 0.9827586206896548, ""42"": 0.017241379310344796, ""44"": 0.017241379310344793, ""45"": 0.017241379310344807, ""49"": 0.00030248033877798173, ""50"": 0.000297355104596114, ""54"": 0.01724137931083887, ""55"": 0.9827586222948189, ""57"": 0.9827638358955852, ""64"": 0.017241379310344793, ""68"": 0.0172413793103448, ""69"": 0.016944205644176973, ""75"": 0.016944204067165257, ""76"": 0.017241380915509107}",0.9999999999999998,0.9369319245996661,57,"(5, 19)",0.9827638342908979,-23.006627682363693,0.0,maze,0.05,0
fb_000_to_001,0,"(1, 1)",80,"(7, 19)",36.0,True,True,0.9999999999999956,0.0,0.0,,,0.0,3.334608285737951,47,"(5, 7)",0.5747410106607281,1.332813138330618,1.332813138330618,19.794060686547596,0.3431101040032383,0.999999999999997,20.137170790550833,27.687837059475285,1.8320829680789457,0.9039898835639203,1.0,0.9164224072109537,23.006540118833655,0.3431101040032383,21.896329866558705,36.596172543427535,2.142197599261311,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,0.0,0.9999999999999998,39.86313713864835,11.06868903087758,62.88889122196781,23,"(3, 1)",0.9827638358955852,"{""4"": 0.017241380915509107, ""5"": 0.01724137931034482, ""11"": 0.017241379310344817, ""12"": 0.017241379310344807, ""16"": 0.0172413793103448, ""23"": 0.9827638358955852, ""25"": 0.982758622294819, ""26"": 0.017241379310838873, ""28"": 0.017241379310344977, ""29"": 0.016944115755471417, ""31"": 0.016944205644662494, ""32"": 0.017241379310344813, ""34"": 0.017241379310344807, ""35"": 0.017241379310344786, ""37"": 0.017241379310344786, ""42"": 0.9827586206896546, ""44"": 0.982758620690149, ""45"": 0.9827586206896535, ""49"": 0.016949240961978494, ""50"": 0.017241379310344942, ""54"": 0.9827586206896535, ""55"": 0.017241379310344786, ""57"": 0.017241379310344786, ""64"": 0.9827586206896541, ""68"": 0.9827586206896537, ""69"": 0.9658196318284186, ""75"": 0.9658197217180856, ""76"": 0.9827586206896527}",0.9999999999999998,0.9369319245996663,23,"(3, 1)",0.9827638342908979,-23.006540118862866,1.0,maze,0.05,0
fb_001_to_000,12,"(1, 15)",0,"(1, 1)",22.0,True,True,0.9999999999999981,0.0,0.0,,,0.0,0.0,,,0.0,1.1484603993844607,1.1484603993844607,10.5772788582161,0.6195964564736556,0.999999917869026,11.196875314689755,24.832049591564427,2.8373753051312884,0.8341626457073343,0.9999998828314454,0.8151260821116317,23.006540118833655,0.6195965290708854,12.680115697637143,15.999999621068584,2.142856534047727,0.9999999052963131,1.0,0.0,0.0,0.9999999052963131,23.33200416700512,4.999999526364941,116.6582444700103,34,"(3, 15)",0.9999999052963131,"{""4"": 0.0, ""5"": 0.9999999052671541, ""11"": 0.9999999052671552, ""23"": 0.0, ""25"": 0.0, ""28"": 0.9999999052671539, ""29"": 0.0, ""31"": 0.0, ""32"": 0.9999999052671643, ""34"": 0.9999999052963131, ""35"": 0.0, ""42"": 0.0, ""44"": 0.0, ""45"": 0.0, ""49"": 0.0, ""50"": 0.0, ""54"": 0.0, ""55"": 0.0, ""57"": 0.0, ""64"": 0.0, ""68"": 0.0, ""69"": 0.0, ""75"": 0.0, ""76"": 0.0}",0.9999999052963131,0.9369148116824458,34,"(3, 15)",0.9999999052963131,-13.541780680736226,0.0,maze,0.05,1
fb_002_to_000,16,"(1, 19)",0,"(1, 1)",26.0,True,True,0.9999999999999997,0.0,0.0,,,0.0,0.0,,,0.0,0.13191466064975674,0.13191466064975674,0.25802763861146794,0.11901327871918334,0.13275844385499547,0.37704091733065126,2.9961114101382913,1.1383778020873765,0.0676654935748501,0.13438693941649418,0.05687720821769212,23.006540118833655,0.8856015267252679,3.8132824424910656,3.999384615384616,4.283735655114174,0.0,0.9999999999999997,3.3306690738754696e-16,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""11"": 0.0, ""23"": 0.0, ""25"": 0.0, ""28"": 0.0, ""29"": 0.0, ""31"": 0.0, ""32"": 0.0, ""34"": 0.0, ""35"": 0.0, ""42"": 0.0, ""44"": 0.0, ""45"": 0.0, ""49"": 0.0, ""50"": 0.0, ""54"": 0.0, ""55"": 0.0, ""57"": 0.0, ""64"": 0.0, ""68"": 0.0, ""69"": 0.0, ""75"": 0.0, ""76"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-4.071310081102526,0.0,maze,0.05,1
fb_003_to_000,26,"(3, 5)",0,"(1, 1)",6.0,True,True,0.9999999999999994,0.0,0.0,,,0.0,0.0,,,0.0,1.0057625714900171,1.0057625714900171,3.4406232423641305,0.8337314093718106,0.9999999999999996,4.274354651735941,22.621898360408416,5.913812077265296,0.6207949251325653,1.0,0.5512087912200074,23.006540118833655,0.8337314093718106,5.542286354272976,6.000000000174945,2.141538461538462,1.0,1.0,0.0,0.0,1.0,39.86313713864835,1.0003078817442235,39.86358138646326,4,"(1, 5)",0.9999999999999999,"{""4"": 0.9999999999999999, ""5"": 9.473284437646814e-08, ""11"": 2.762176609392983e-18, ""23"": 0.0, ""25"": 0.0, ""28"": 0.00030778701137914785, ""29"": 0.0, ""31"": 0.0, ""32"": 8.501620835312352e-22, ""34"": 2.616688468855756e-25, ""35"": 0.0, ""42"": 0.0, ""44"": 0.0, ""45"": 0.0, ""49"": 0.0, ""50"": 0.0, ""54"": 0.0, ""55"": 0.0, ""57"": 0.0, ""64"": 0.0, ""68"": 0.0, ""69"": 0.0, ""75"": 0.0, ""76"": 0.0}",1.0,0.9369501066427347,4,"(1, 5)",0.9996923076923078,-5.918907488396212,0.0,maze,0.05,1
fb_004_to_000,37,"(3, 19)",0,"(1, 1)",28.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,1.4377714161994418e-09,56,"(5, 18)",1.4125684729093113e-09,0.12910790342287462,0.12910790342287462,0.13209755913440602,0.12250302546615432,0.13245092838196282,0.25460058460056034,2.9504683291999863,2.170440832175438,0.06706938946425324,0.13019590665176065,0.04696459296915189,23.006540118833655,0.9409130334167668,1.9695655527744382,2.000615763546672,2.1415384615384623,0.00030769230769230765,0.9999999999999999,1.1102230246251565e-16,0.0,0.00030769230769230765,0.0004439744736959032,0.0003077870405277153,0.0004441111442943076,35,"(3, 17)",0.00030769230769230765,"{""4"": 0.0, ""5"": 0.0, ""11"": 0.0, ""23"": 0.0, ""25"": 0.0, ""28"": 0.0, ""29"": 0.0, ""31"": 0.0, ""32"": 0.0, ""34"": 0.0, ""35"": 0.00030769230769230765, ""42"": 0.0, ""44"": 0.0, ""45"": 0.0, ""49"": 0.0, ""50"": 0.0, ""54"": 0.0, ""55"": 9.470368684293987e-08, ""57"": 2.9148564739975196e-11, ""64"": 0.0, ""68"": 0.0, ""69"": 0.0, ""75"": 0.0, ""76"": 0.0}",0.00030769230769230765,0.0002882923405054568,35,"(3, 17)",0.00030769230769230765,-2.1028373314888995,0.0,maze,0.05,1
fb_005_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,0.9999999999999994,0.0,0.0,,,0.0,2.9698139367989294,63,"(6, 19)",1.017021309114647,1.0449803545642646,1.0449803545642646,5.402421498229911,0.774859279652769,0.9999999999999993,6.17728077788268,23.22925260201189,4.484663623865776,0.7198726409728786,1.0,0.6725468791675296,23.006540118833655,0.774859279652769,7.504690678241026,8.595870063088828,2.142197599261311,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,0.0,0.9999999999999998,39.86313713864835,3.1385362713884177,17.851231357575955,57,"(5, 19)",0.9827638358955852,"{""4"": 0.0, ""5"": 0.0, ""11"": 0.0, ""23"": 0.017241379310344626, ""25"": 0.017241379310344633, ""28"": 0.0, ""29"": 0.00029726676569583077, ""31"": 0.0002972651886924788, ""32"": 0.0, ""34"": 0.0, ""35"": 0.9827586206901487, ""42"": 0.017241379310344643, ""44"": 0.017241379310344637, ""45"": 0.017241379310344657, ""49"": 0.0003024803387779791, ""50"": 0.0002973551045961114, ""54"": 0.017241379310838717, ""55"": 0.982758622294819, ""57"": 0.9827638358955852, ""64"": 0.017241379310344637, ""68"": 0.017241379310344647, ""69"": 0.016944205644176827, ""75"": 0.016944204067165108, ""76"": 0.017241380915508954}",0.9999999999999998,0.9369319245996661,57,"(5, 19)",0.9827638342908979,-7.885201228736454,0.0,maze,0.05,1
fb_000_to_001,0,"(1, 1)",12,"(1, 15)",22.0,True,True,0.9999999999999997,0.0,0.0,,,0.0,8.679626078951026e-25,,,0.0,0.9072802230303331,0.9072802230303331,1.4709762731704474,0.8337314093718107,0.9999999999999998,2.304707682542258,20.652251391214733,5.398907366405468,0.26540964849937054,1.0,0.24518062071683958,23.006540118833655,0.8337314093718107,5.542286354272973,6.0000000001749445,4.2837356551141745,0.9999999999999997,0.9999999999999997,3.3306690738754696e-16,0.0,0.9999999999999997,39.86313713864835,1.00030788177339,39.86358138650534,4,"(1, 5)",0.9999999999999999,"{""4"": 0.9999999999999999, ""5"": 0.0, ""11"": 0.0, ""23"": 0.0003077870113791479, ""25"": 9.473284437646814e-08, ""28"": 0.0, ""29"": 4.433747231354783e-27, ""31"": 4.4337707525557566e-27, ""32"": 0.0, ""34"": 0.0, ""35"": 0.0, ""42"": 8.974311803917802e-15, ""44"": 2.915753905092894e-11, ""45"": 2.5715867969964284e-25, ""49"": 4.435088338231615e-27, ""50"": 4.5115318429818385e-27, ""54"": 2.571573150499622e-25, ""55"": 0.0, ""57"": 0.0, ""64"": 2.7621766093929835e-18, ""68"": 2.6166884688557563e-25, ""69"": 2.527249093672334e-25, ""75"": 2.5272493288843623e-25, ""76"": 2.5715731504996216e-25}",0.9999999999999997,0.8778606975669242,4,"(1, 5)",0.9996922130177601,-5.918907488396211,0.0,maze,0.05,1
fb_002_to_001,16,"(1, 19)",12,"(1, 15)",4.0,True,True,0.9999999999999997,0.0,0.0,,,0.0,0.0,,,0.0,0.13191466064975674,0.13191466064975674,0.25802763861146794,0.11901327871918334,0.13275844385499547,0.37704091733065126,2.9961114101382913,1.1383778020873765,0.0676654935748501,0.13438693941649418,0.05687720821769212,23.006540118833655,0.8856015267252679,3.8132824424910656,3.999384615384616,4.283735655114174,0.0,0.9999999999999997,3.3306690738754696e-16,0.0,0.0,-0.0,0.0,0.0,4,"(1, 5)",0.0,"{""4"": 0.0, ""5"": 0.0, ""11"": 0.0, ""23"": 0.0, ""25"": 0.0, ""28"": 0.0, ""29"": 0.0, ""31"": 0.0, ""32"": 0.0, ""34"": 0.0, ""35"": 0.0, ""42"": 0.0, ""44"": 0.0, ""45"": 0.0, ""49"": 0.0, ""50"": 0.0, ""54"": 0.0, ""55"": 0.0, ""57"": 0.0, ""64"": 0.0, ""68"": 0.0, ""69"": 0.0, ""75"": 0.0, ""76"": 0.0}",0.0,0.0,4,"(1, 5)",0.0,-4.071310081102526,0.0,maze,0.05,1
fb_003_to_001,26,"(3, 5)",12,"(1, 15)",16.0,True,True,0.9999999999999984,0.0,0.0,,,0.0,0.0,,,0.0,1.1485191646976398,1.1485191646976398,10.578452902745248,0.6195965195603773,0.9999999999999988,11.198049422305624,24.83322508750077,2.8375095494481455,0.8342552142677564,1.0,0.8152036199076006,23.006540118833655,0.6195965195603773,12.680116014654079,15.999999999825052,2.141538461538462,0.9999999999999999,0.9999999999999999,1.1102230246251565e-16,0.0,0.9999999999999999,39.86313713864835,5.000307786865607,174.98744025347193,28,"(3, 7)",0.9999999999708512,"{""4"": 0.0003077870113881194, ""5"": 0.9999999999708422, ""11"": 0.999999999970842, ""23"": 0.0, ""25"": 0.0, ""28"": 0.9999999999708512, ""29"": 0.0, ""31"": 0.0, ""32"": 0.9999999999708418, ""34"": 0.9999999999708411, ""35"": 0.0, ""42"": 0.0, ""44"": 0.0, ""45"": 0.0, ""49"": 0.0, ""50"": 0.0, ""54"": 0.0, ""55"": 0.0, ""57"": 0.0, ""64"": 0.0, ""68"": 0.0, ""69"": 0.0, ""75"": 0.0, ""76"": 0.0}",0.9999999999999999,0.9369501066427347,28,"(3, 7)",0.9996923076923075,-13.541782007529287,0.0,maze,0.05,1
