map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_reward_weight,residual_hit_weight,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
corridor,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,11,2,2,2,2,0,0.0,0.0,1.730231058654565,1.730231058654565,0.97,2,3.108624468950438e-16,1.9984014443252818e-16,0.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,0.0,,,0.0,9,"(1, 10)",1.730231058654565,9.630231058654564,0,,0.0,none,,hybrid_threshold
corridor,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,11,2,2,2,2,0,0.0,0.0,1.8181649473766486,1.8181649473766486,1.0342918231950553,2,0.2803423679048015,0.14017118395240077,0.0,0,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,1.9666666666666666,2.0,,,0.0,,,0.0,9,"(1, 10)",1.8181649473766486,9.985173981948115,0,,0.0,none,,hybrid_threshold
open_room,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,2,1.9677438641400955,0.9838719320700477,1.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,,,0.0,27,"(4, 7)",0.97,18.058205981449227,0,,0.0,none,,hybrid_threshold
open_room,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,35,2,2,2,2,0,0.0,0.0,3.355160423271827,3.355160423271827,3.337033911680864,2,1.8268889349209492,0.9134444674604748,0.9358364618880669,0,True,-9.268811904277364,-9.19001272578314,0.07879917849422391,0.07879917849422391,fb_000_to_001,28.4,5.0,14.2,2.5,28.4,5.0,14.2,2.5,,,0.0,,,0.0,30,"(5, 3)",0.8796588346772263,18.462049358192775,0,,0.0,none,,hybrid_threshold
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,51,2,4,2,0,2,2.0,1.0,1.2329439104767141,0.0,1.2329439104767141,0,0.0,0.953062489907928,1.0,0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,66.0,11.0,33.0,5.5,66.0,11.0,33.0,5.5,26,"(3, 7)",1.0,,,0.0,,,0.0,22.8,0,26,1.0,hard_hidden,"(3, 7)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,51,3,4,6,3,3,3.0,1.0,3.5906406460122344,3.5906406460122344,1.2329439104767141,3,1.012851996714,1.0456710937082025,1.0,1,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,216.0,34.0,36.0,5.666666666666667,108.0,17.0,36.0,5.666666666666667,24,"(3, 5)",3.0,46,"(5, 7)",1.012851996714,40,"(4, 11)",1.2704867952771541,45.003492642726236,1,24,3.0,hard_hidden,"(3, 5)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,51,4,4,12,12,0,0.0,0.0,4.823584556488949,4.823584556488949,1.2329439104767141,4,2.025703993428,1.012851996714,1.0,2,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,4,"(1, 5)",1.012851996714,40,"(4, 11)",1.905730192915731,67.94928854991694,2,4,1.012851996714,model_residual,"(1, 5)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,51,5,5,20,20,0,0.0,0.0,6.056528466965663,6.056528466965663,1.2329439104767141,5,1.012851996714,1.012851996714,1.0,1,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,728.0,112.0,36.4,5.6,182.0,28.0,36.4,5.6,,,0.0,46,"(5, 7)",1.012851996714,40,"(4, 11)",2.5409735905543083,87.46938046367967,3,46,1.012851996714,model_residual,"(5, 7)",continue
four_rooms,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,51,6,6,30,30,0,0.0,0.0,7.3601205780598455,7.3601205780598455,1.2329439104767141,6,4.4408920985006264e-17,2.2204460492503132e-17,0.0,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,1080.0,170.0,36.0,5.666666666666667,216.0,34.0,36.0,5.666666666666667,,,0.0,,,0.0,40,"(4, 11)",2.5409735905543083,110.06012057805985,4,,0.0,none,,hybrid_threshold
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,51,2,4,2,0,2,2.0,1.0000000000000004,0.6678408722396028,0.0,0.6676582215190286,0,0.0,0.9353997146900606,0.9999999999999998,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,62.0,11.0,31.0,5.5,62.0,11.0,31.0,5.5,24,"(3, 5)",1.0000000000000004,,,0.0,,,0.0,22.0,0,24,1.0000000000000004,hard_hidden,"(3, 5)",continue
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,51,3,4,6,2,4,3.000302307940899,0.9999999999999994,1.335681808598059,0.00036530144114830897,0.6676582215190286,2,0.20289550154522962,1.037653386258505,0.9999999999999998,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,203.20000000000002,34.0,33.86666666666667,5.666666666666667,101.60000000000001,17.0,33.86666666666667,5.666666666666667,26,"(3, 7)",3.000302307940899,,,0.0,42,"(5, 2)",0.00036530144114830897,38.98992746965305,1,26,3.000302307940899,hard_hidden,"(3, 7)",continue
four_rooms,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,0.05,0.0,1.0,51,4,4,12,12,0,0.0,0.0,3.8340394666748043,3.8340394666748043,1.830496678282954,9,3.065715239734387,0.9751879128316419,0.9664271847097837,0,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,,,0.0,40,"(4, 11)",1.965839839643408,66.23975470640919,2,,0.0,none,,hybrid_threshold
