map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,recipe,lens,bres_size,constructor_stop,constructor_n_boundary,constructor_model_residual_max,constructor_residual_backup_value_norm_max
corridor,0.0,0.97,articulation_only,0.15,junction,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,8.75252910350239,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,3.108624468950438e-16,1.9984014443252818e-16,3.108624468950438e-16,1.9984014443252818e-16,1.618572751340554e-15,1.195752858752444e-15,0.7374241268949282,8.752529103502386,0.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,0.0,,,0.0,,,0.0,7.8999999999999995,soft3,junction,2,hybrid_threshold,2,1.9984014443252818e-16,1.195752858752444e-15
corridor,0.0,0.97,articulation_only,0.15,decision,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,8.75252910350239,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,3.108624468950438e-16,1.9984014443252818e-16,3.108624468950438e-16,1.9984014443252818e-16,1.618572751340554e-15,1.195752858752444e-15,0.7374241268949282,8.752529103502386,0.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,0.0,,,0.0,,,0.0,7.8999999999999995,soft3,decision,2,hybrid_threshold,2,1.9984014443252818e-16,1.195752858752444e-15
corridor,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,8.75252910350239,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,3.108624468950438e-16,1.9984014443252818e-16,3.108624468950438e-16,1.9984014443252818e-16,1.618572751340554e-15,1.195752858752444e-15,0.7374241268949282,8.752529103502386,0.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,0.0,,,0.0,,,0.0,7.8999999999999995,soft3,turn_articulation,2,hybrid_threshold,2,1.9984014443252818e-16,1.195752858752444e-15
corridor,0.0,0.97,articulation_only,0.15,bottleneck,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,8.75252910350239,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,3.108624468950438e-16,1.9984014443252818e-16,3.108624468950438e-16,1.9984014443252818e-16,1.618572751340554e-15,1.195752858752444e-15,0.7374241268949282,8.752529103502386,0.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,0.0,,,0.0,,,0.0,7.8999999999999995,soft3,bottleneck,2,hybrid_threshold,2,1.9984014443252818e-16,1.195752858752444e-15
corridor,0.0,0.97,articulation_only,0.15,combined,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,8.75252910350239,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,1.900486261897704,1.1250505820700476,1.900486261897704,1.1250505820700476,9.320940184513152,6.181723465518573,0.7374241268949282,8.752529103502386,1.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,0.0,,,0.0,,,0.0,9.800486261897703,soft3,combined,3,hybrid_threshold,2,1.9984014443252818e-16,1.195752858752444e-15
corridor,0.05,0.97,articulation_only,0.15,junction,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,9.255363868876513,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,0.2803423679048015,0.14017118395240077,0.2803423679048015,0.14017118395240077,1.3441151091777876,0.6720575545888939,0.7401505935765067,8.661646880783103,0.0,0,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,1.9666666666666666,2.0,,,0.0,,,0.0,,,0.0,8.167009034571468,soft3,junction,2,hybrid_threshold,2,0.14017118395240077,0.6720575545888939
corridor,0.05,0.97,articulation_only,0.15,decision,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,9.255363868876513,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,0.2803423679048015,0.14017118395240077,0.2803423679048015,0.14017118395240077,1.3441151091777876,0.6720575545888939,0.7401505935765067,8.661646880783103,0.0,0,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,1.9666666666666666,2.0,,,0.0,,,0.0,,,0.0,8.167009034571468,soft3,decision,2,hybrid_threshold,2,0.14017118395240077,0.6720575545888939
corridor,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,9.255363868876513,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,0.2803423679048015,0.14017118395240077,0.2803423679048015,0.14017118395240077,1.3441151091777876,0.6720575545888939,0.7401505935765067,8.661646880783103,0.0,0,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,1.9666666666666666,2.0,,,0.0,,,0.0,,,0.0,8.167009034571468,soft3,turn_articulation,2,hybrid_threshold,2,0.14017118395240077,0.6720575545888939
corridor,0.05,0.97,articulation_only,0.15,bottleneck,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,9.255363868876513,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,0.2803423679048015,0.14017118395240077,0.2803423679048015,0.14017118395240077,1.3441151091777876,0.6720575545888939,0.7401505935765067,8.661646880783103,0.0,0,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,1.9666666666666666,2.0,,,0.0,,,0.0,,,0.0,8.167009034571468,soft3,bottleneck,2,hybrid_threshold,2,0.14017118395240077,0.6720575545888939
corridor,0.05,0.97,articulation_only,0.15,combined,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,9.255363868876513,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,1.8710197938530144,1.1206843301537597,1.8710197938530144,1.1206843301537597,8.945983797173941,6.012903508138936,0.7401505935765067,8.661646880783103,0.9999999999999999,0,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,1.9666666666666666,2.0,,,0.0,,,0.0,,,0.0,9.75768646051968,soft3,combined,3,hybrid_threshold,2,0.14017118395240077,0.6720575545888939
open_room,0.0,0.97,articulation_only,0.15,junction,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,8.75252910350239,0.0,35,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,2.250101164140095,1.1250505820700476,2.250101164140095,1.1250505820700476,12.363446931037146,6.181723465518573,0.7374241268949282,8.752529103502386,1.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,,,0.0,,,0.0,15.850101164140096,soft3,junction,33,hybrid_threshold,2,0.9838719320700477,4.953123104563857
