option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,model_residual,residual_threshold_metric,residual_reward_abs,residual_gamma_l1,residual_hit_l1,residual_backup_raw,residual_backup_value,residual_backup_value_norm,residual_reward_per_discounted_step,residual_gamma_relative,residual_tau_relative,value_scale_task,beta_row,l_gamma_row,expected_tau_global,expected_tau_residual,residual_hidden_mass,residual_hidden_gamma_mass,residual_argmax_state,residual_argmax_coord,residual_argmax_prob,reward,map,slip,step
fb_001_to_002,6,"(1, 7)",34,"(5, 7)",4.0,True,True,1.0,0.0,0.0,,,0.0,0.912673,27,"(4, 7)",0.912673,2.2204460492503132e-17,4.4232961430380427e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,4.4232961430380427e-16,1.161450846760511e-16,0.0,0.0,8.75252910350239,0.8852928099999999,3.823572999999999,4.0,4.0,0.0,0.0,28,"(5, 1)",0.0,-3.823573,open_room,0.0,1
fb_001_to_000,6,"(1, 7)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75252910350239,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,0.0,,,0.0,-5.567599835699999,open_room,0.0,2
fb_002_to_000,28,"(5, 1)",0,"(1, 1)",4.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,2.2204460492503132e-17,4.4232961430380427e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,4.4232961430380427e-16,1.161450846760511e-16,0.0,0.0,8.75252910350239,0.8852928099999999,3.823572999999999,4.0,4.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,2
fb_003_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.97,27,"(4, 7)",0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75252910350239,0.8852928099999999,3.823572999999999,4.0,4.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,2
fb_000_to_001,0,"(1, 1)",6,"(1, 7)",6.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75252910350239,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,0.0,,,0.0,-5.567599835699999,open_room,0.0,2
fb_002_to_001,28,"(5, 1)",6,"(1, 7)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,2.2204460492503132e-17,4.4232961430380427e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,4.4232961430380427e-16,1.161450846760511e-16,0.0,0.0,8.75252910350239,0.8852928099999999,3.823572999999999,4.0,4.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,2
fb_003_to_001,34,"(5, 7)",6,"(1, 7)",4.0,True,True,1.0,0.0,0.0,,,0.0,0.97,27,"(4, 7)",0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75252910350239,0.8852928099999999,3.823572999999999,4.0,4.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,2
fb_000_to_002,0,"(1, 1)",28,"(5, 1)",4.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75252910350239,0.8852928099999999,3.823572999999999,4.0,4.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,2
fb_001_to_002,6,"(1, 7)",28,"(5, 1)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.912673,27,"(4, 7)",0.912673,2.2204460492503132e-17,4.4232961430380427e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,4.4232961430380427e-16,1.161450846760511e-16,0.0,0.0,8.75252910350239,0.8852928099999999,3.823572999999999,4.0,4.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,2
fb_003_to_002,34,"(5, 7)",28,"(5, 1)",6.0,True,True,1.0,0.0,0.0,,,0.0,1.882673,33,"(5, 6)",0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75252910350239,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,0.0,,,0.0,-5.567599835699999,open_room,0.0,2
