map,slip,gamma,candidate_kind,candidate_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
corridor,0.0,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,11,2,2,2,2,0,0.0,0.0,1.730231058654565,1.730231058654565,0.97,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,0.0,,,0.0,9.630231058654564,0,,0.0,none,,hybrid_threshold
corridor,0.05,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,11,2,2,2,2,0,0.0,0.0,1.8181649473766486,1.8181649473766486,1.0342918231950553,0,True,-9.255363868888725,-9.255363868876513,1.2212453270876722e-11,1.2212453270876722e-11,fb_000_to_001,3.933333333333333,4.0,1.9666666666666666,2.0,3.933333333333333,4.0,1.9666666666666666,2.0,,,0.0,,,0.0,9.704831614043314,0,,0.0,none,,hybrid_threshold
open_room,0.0,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,35,2,2,2,2,0,0.0,0.0,2.4904621173091304,2.4904621173091304,1.5204621173091302,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,30.0,5.0,15.0,2.5,30.0,5.0,15.0,2.5,,,0.0,,,0.0,16.09046211730913,0,,0.0,none,,hybrid_threshold
open_room,0.05,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,35,2,2,2,2,0,0.0,0.0,3.355160423271827,3.355160423271827,3.337033911680864,1,True,-9.268811904277364,-9.19001272578314,0.07879917849422391,0.07879917849422391,fb_000_to_001,28.4,5.0,14.2,2.5,28.4,5.0,14.2,2.5,,,0.0,30,"(5, 3)",0.8796588346772263,16.635160423271827,0,30,0.8796588346772263,soft_threshold,"(5, 3)",continue
open_room,0.05,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,35,3,3,6,6,0,0.0,0.0,6.000679413536958,6.000679413536958,2.9830555556934994,2,True,-9.268811904277364,-9.19001272578314,0.07879917849422391,0.07879917849422391,fb_000_to_002,90.99999999999997,18.0,15.166666666666663,3.0,45.5,9.0,15.166666666666666,3.0,,,0.0,33,"(5, 6)",1.0331236302889697,30.900679413536956,1,33,1.0331236302889697,soft_threshold,"(5, 6)",continue
open_room,0.05,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,35,4,4,12,12,0,0.0,0.0,6.064264736221618,6.064264736221618,2.0144720626136934,2,True,-9.268811904258925,-9.19001272578314,0.07879917847578533,0.07879917847578533,fb_000_to_002,187.79999999999995,39.0,15.649999999999997,3.25,62.599999999999994,13.0,15.649999999999999,3.25,,,0.0,31,"(5, 4)",2.06449308620374,44.68426473622162,2,31,2.06449308620374,soft_threshold,"(5, 4)",continue
open_room,0.05,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,35,5,5,20,20,0,0.0,0.0,4.064164758232863,4.064164758232863,0.9983863304764696,0,True,-9.268811904258136,-9.19001272578314,0.07879917847499662,0.07879917847499662,fb_000_to_003,318.79999999999995,68.0,15.939999999999998,3.4,79.69999999999999,17.0,15.939999999999998,3.4,,,0.0,,,0.0,58.50416475823286,3,,0.0,none,,hybrid_threshold
four_rooms,0.0,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,51,2,4,2,0,2,2.0,1.0,1.2329439104767141,0.0,1.2329439104767141,0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,66.0,11.0,33.0,5.5,66.0,11.0,33.0,5.5,26,"(3, 7)",1.0,,,0.0,22.8,0,26,1.0,hard_hidden,"(3, 7)",continue
four_rooms,0.0,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,51,3,4,6,3,3,3.0,1.0,3.5906406460122344,3.5906406460122344,1.2329439104767141,0,False,nan,-11.57212408464641,inf,inf,INFEASIBLE,216.0,34.0,36.0,5.666666666666667,108.0,17.0,36.0,5.666666666666667,24,"(3, 5)",3.0,,,0.0,43.99064064601224,1,24,3.0,hard_hidden,"(3, 5)",continue
four_rooms,0.0,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,51,4,4,12,12,0,0.0,0.0,4.823584556488949,4.823584556488949,1.2329439104767141,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,,,0.0,65.92358455648895,2,,0.0,none,,hybrid_threshold
four_rooms,0.05,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,51,2,4,2,0,2,2.0,1.0000000000000004,0.6678408722396028,0.0,0.6676582215190286,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,62.0,11.0,31.0,5.5,62.0,11.0,31.0,5.5,24,"(3, 5)",1.0000000000000004,,,0.0,22.0,0,24,1.0000000000000004,hard_hidden,"(3, 5)",continue
four_rooms,0.05,0.97,articulation_only,0.15,combined,0.15,999.0,1e-06,2.0,1.0,51,3,4,6,2,4,3.000302307940899,0.9999999999999994,1.335681808598059,0.00036530144114830897,0.6676582215190286,0,False,nan,-12.185911752175528,inf,inf,INFEASIBLE,203.20000000000002,34.0,33.86666666666667,5.666666666666667,101.60000000000001,17.0,33.86666666666667,5.666666666666667,26,"(3, 7)",3.000302307940899,,,0.0,38.78703196810782,1,26,3.000302307940899,hard_hidden,"(3, 7)",continue
