map_family,map_size,map,maze_seed,topology_seed,goal_variant,map_rows,slip,student_method,n_states,student_boundary,teacher_boundary,student_n_boundary,teacher_n_boundary,state_compression_ratio,boundary_jaccard,top_set_hit,top_set_regret,student_score_margin,ensemble_top_state_agreement,ensemble_max_node_logit_std,ensemble_selected_logit_std,student_group_all_feasible,teacher_group_all_feasible,accepted_group_all_feasible,student_n_groups_feasible,student_group_total_violation,student_group_max_violation,student_group_risks,student_group_violations,fallback_used,student_start_gap,student_normalized_start_gap,teacher_start_gap,teacher_normalized_start_gap,accepted_normalized_start_gap,graph_encoding_time_sec,gnn_forward_time_sec,student_selection_time_sec,group_context_time_sec,group_audit_time_sec,student_kernel_time_sec,student_smdp_solve_time_sec,student_audited_pipeline_time_sec,teacher_selection_time_sec,teacher_pipeline_time_sec,accepted_pipeline_time_sec,selection_speedup_vs_teacher,selection_plus_audit_speedup_vs_teacher,accepted_speedup_vs_teacher_pipeline,error,proposal_source_method,proposal_kind,proposal_aliases,constraint_failure_probability,constraint_max_group_probability,constraint_predicted_gap,constraint_gap_failure_probability,constraint_combined_risk,constraint_predicted_group_margins,constraint_predicted_group_probabilities,constraint_head_time_sec
braid_maze,11,braid_maze_11_seed0_goal0,0,0,0,"[""###########"", ""#S#.......#"", ""#.###..##.#"", ""#...#...#.#"", ""###.##..#.#"", ""#.#.#.....#"", ""#...#.###.#"", ""#...#...#.#"", ""#.####..#.#"", ""#.......#G#"", ""###########""]",0.0,constraint_aware_gnn,54,"[0, 8, 53]","[0, 8, 53]",3,3,18.0,1.0,True,0.0,0.7483744621276855,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,3.552713678800501e-15,1.7793433739659133e-16,3.552713678800501e-15,1.0658141036401512e-16,1.7793433739659133e-16,0.0022545120446011424,0.0034386159386485815,0.005819558980874717,0.8201246660901234,1.5836403280263767,0.039211443974636495,0.0029809129191562533,2.4517769099911675,0.8408141060499474,0.8836289271712303,2.4517769099911675,144.48072591293982,0.34894567404540006,0.36040347862416794,,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1"", ""nearest_start""]",0.0048865764401853085,0.015143565833568573,0.0007763145840726793,0.003933786880224943,0.007307905703783035,"{""stochastic"": 0.5400910377502441, ""topology"": 0.34143489599227905, ""value"": 0.3293059468269348}","{""stochastic"": 0.014277503825724125, ""topology"": 0.010665208101272583, ""value"": 0.015143565833568573}",0.00012643099762499332
braid_maze,11,braid_maze_11_seed0_goal0,0,0,0,"[""###########"", ""#S#.......#"", ""#.###..##.#"", ""#...#...#.#"", ""###.##..#.#"", ""#.#.#.....#"", ""#...#.###.#"", ""#...#...#.#"", ""#.####..#.#"", ""#.......#G#"", ""###########""]",0.05,constraint_aware_gnn,54,"[0, 8, 12, 53]","[0, 8, 53]",4,3,13.5,0.75,True,0.0,0.46460700035095215,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,0.006781140059977986,0.000325629897194085,0.006781154934234479,0.00020343464802703454,0.000325629897194085,0.0028888460947200656,0.0012890170328319073,0.004272736143320799,1.341200823080726,2.0411532280268148,0.09168779291212559,0.007190172094851732,3.485504752257839,1.3871551100164652,1.4546085830079392,3.485504752257839,324.65264961069164,0.40959786748232346,0.41733082764144086,,constraint_candidate_top2,top2,"[""top2""]",0.005187089554965496,0.015066349878907204,0.0008863635011948645,0.004201170522719622,0.007509017363190651,"{""stochastic"": 0.5327918529510498, ""topology"": 0.32193490862846375, ""value"": 0.33384907245635986}","{""stochastic"": 0.014040623791515827, ""topology"": 0.010769302025437355, ""value"": 0.015066349878907204}",9.487301576882601e-05
braid_maze,11,braid_maze_11_seed0_goal0,0,0,0,"[""###########"", ""#S#.......#"", ""#.###..##.#"", ""#...#...#.#"", ""###.##..#.#"", ""#.#.#.....#"", ""#...#.###.#"", ""#...#...#.#"", ""#.####..#.#"", ""#.......#G#"", ""###########""]",0.1,constraint_aware_gnn,54,"[0, 8, 53]","[0, 8, 53]",3,3,18.0,1.0,True,0.0,0.725480318069458,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,0.013667595419715184,0.0006285036171681906,0.013667595419715184,0.0004100278625914559,0.0006285036171681906,0.002735779038630426,0.001107606920413673,0.0039406269788742065,1.5454424599884078,2.4171852979343385,0.07042719901073724,0.004127389984205365,4.041122973896563,1.6646148400614038,1.7421954181045294,4.041122973896563,422.42385513407964,0.41966119792554385,0.43111665479079847,,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1"", ""nearest_start""]",0.005209110677242279,0.015831513330340385,0.0009152513812296093,0.004274310544133186,0.0077244918793439865,"{""stochastic"": 0.639589786529541, ""topology"": 0.3356970548629761, ""value"": 0.3335880935192108}","{""stochastic"": 0.013875087723135948, ""topology"": 0.010575301945209503, ""value"": 0.015831513330340385}",9.724101983010769e-05
braid_maze,11,braid_maze_11_seed0_goal1,0,0,1,"[""###########"", ""#S#G......#"", ""#.###..##.#"", ""#...#...#.#"", ""###.##..#.#"", ""#.#.#.....#"", ""#...#.###.#"", ""#...#...#.#"", ""#.####..#.#"", ""#.......#.#"", ""###########""]",0.0,constraint_aware_gnn,54,"[0, 1, 2, 8, 12]","[0, 1, 8]",5,3,10.8,0.6,True,0.0,0.6126511096954346,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,3.552713678800501e-15,1.7793433739659133e-16,3.552713678800501e-15,1.0658141036401512e-16,1.7793433739659133e-16,0.002224911004304886,0.001102847047150135,0.003422236070036888,0.8399842540966347,2.4146501140203327,0.0823953339131549,0.007984010968357325,3.3484359490685165,0.8616278619738296,0.9033484959509224,3.3484359490685165,251.77335646647606,0.26446067906448634,0.2697822236086732,,constraint_candidate_top3,top3,"[""top3""]",0.00549932150170207,0.014668988063931465,0.0007561288075521588,0.00388661352917552,0.007549832109361887,"{""stochastic"": 0.5157498121261597, ""topology"": 0.2883198857307434, ""value"": 0.34443679451942444}","{""stochastic"": 0.012287810444831848, ""topology"": 0.010103216394782066, ""value"": 0.014668988063931465}",9.447801858186722e-05
braid_maze,11,braid_maze_11_seed0_goal1,0,0,1,"[""###########"", ""#S#G......#"", ""#.###..##.#"", ""#...#...#.#"", ""###.##..#.#"", ""#.#.#.....#"", ""#...#.###.#"", ""#...#...#.#"", ""#.####..#.#"", ""#.......#.#"", ""###########""]",0.05,constraint_aware_gnn,54,"[0, 1, 2, 8, 12]","[0, 1, 8]",5,3,10.8,0.6,True,0.0,0.4644472599029541,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,0.006783342822298977,0.00032574791351061864,0.006783405523979269,0.00020350216571937826,0.00032574791351061864,0.0027871759375557303,0.0011456470238044858,0.00402582495007664,1.2903640769654885,2.2461333030369133,0.1380648479098454,0.011587756918743253,3.690175809781067,1.4044785860460252,1.4742431751219556,3.690175809781067,348.8672765116844,0.3966867337803189,0.399504861317006,,constraint_candidate_top3,top3,"[""top3""]",0.0055154720321297646,0.014903458766639233,0.0009159065084531903,0.004275982733815908,0.0076765455305576324,"{""stochastic"": 0.6338392496109009, ""topology"": 0.3045472800731659, ""value"": 0.38127413392066956}","{""stochastic"": 0.011492873542010784, ""topology"": 0.011182132177054882, ""value"": 0.014903458766639233}",9.300198871642351e-05
braid_maze,11,braid_maze_11_seed0_goal1,0,0,1,"[""###########"", ""#S#G......#"", ""#.###..##.#"", ""#...#...#.#"", ""###.##..#.#"", ""#.#.#.....#"", ""#...#.###.#"", ""#...#...#.#"", ""#.####..#.#"", ""#.......#.#"", ""###########""]",0.1,constraint_aware_gnn,54,"[0, 1, 2, 8, 12]","[0, 1, 8]",5,3,10.8,0.6,True,0.0,0.5263509750366211,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,0.013685660987093229,0.0006294064133400901,0.013685802599670893,0.00041057407799012714,0.0006294064133400901,0.002807660959661007,0.0012087579816579819,0.004120006924495101,1.6707285579759628,2.7328081560553983,0.1593757839873433,0.013241770910099149,4.580274275853299,1.6609836369752884,1.7476889409590513,4.580274275853299,403.15069062143357,0.3768405168846913,0.38156862137550906,,constraint_candidate_top3,top3,"[""top3""]",0.005554943345487118,0.01423670630902052,0.0009990624384954572,0.004493757151067257,0.007566206157207489,"{""stochastic"": 0.6007418036460876, ""topology"": 0.3085018992424011, ""value"": 0.3631044924259186}","{""stochastic"": 0.012073499150574207, ""topology"": 0.010723274201154709, ""value"": 0.01423670630902052}",0.00010358798317611217
braid_maze,11,braid_maze_11_seed1_goal0,1,1,0,"[""###########"", ""#S....#...#"", ""##.#..#.#.#"", ""#.......#.#"", ""#.#######.#"", ""#.#.....#.#"", ""#.#.###...#"", ""#...#.....#"", ""#####.###.#"", ""#........G#"", ""###########""]",0.0,constraint_aware_gnn,54,"[0, 1, 8, 53]","[0, 1, 53]",4,3,13.5,0.75,True,0.0,0.14247113466262817,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,3.552713678800501e-15,2.3362579729453317e-16,3.552713678800501e-15,1.0658141036401512e-16,2.3362579729453317e-16,0.0021666859975084662,0.0010148849105462432,0.0032958369702100754,0.6234082849696279,1.5421116559300572,0.037032800959423184,0.003317703027278185,2.2091662818565965,0.6513191270641983,0.677974192192778,2.2091662818565965,197.61873325387313,0.30031095020153903,0.3068914267616852,,constraint_candidate_top2,top2,"[""top2""]",0.006813881918787956,0.014299101196229458,0.0008006204734556377,0.003991345409303904,0.008261806331574917,"{""stochastic"": 0.5500985383987427, ""topology"": 0.29557302594184875, ""value"": 0.3227553367614746}","{""stochastic"": 0.014299101196229458, ""topology"": 0.011612123809754848, ""value"": 0.013819265179336071}",0.00011426606215536594
braid_maze,11,braid_maze_11_seed1_goal0,1,1,0,"[""###########"", ""#S....#...#"", ""##.#..#.#.#"", ""#.......#.#"", ""#.#######.#"", ""#.#.....#.#"", ""#.#.###...#"", ""#...#.....#"", ""#####.###.#"", ""#........G#"", ""###########""]",0.05,constraint_aware_gnn,54,"[0, 1, 2, 8, 53]","[0, 1, 53]",5,3,10.8,0.6,True,0.0,0.5815063118934631,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,1.9386239545227113e-05,1.2146424694769306e-06,0.02705119822714508,0.0008115359468143531,1.2146424694769306e-06,0.002807724056765437,0.001054640975780785,0.003954287036322057,1.150201762910001,1.7664693769766018,0.09347385505679995,0.009053075104020536,3.0231523570837453,1.2097301969770342,1.2519831699319184,3.0231523570837453,305.9287770121571,0.41420244644365994,0.4141316817851787,,constraint_candidate_top3,top3,"[""top3""]",0.0068861376494169235,0.01614975929260254,0.0014329954283311963,0.005822404287755489,0.009042482823133469,"{""stochastic"": 0.5963446497917175, ""topology"": 0.36181017756462097, ""value"": 0.4549868106842041}","{""stochastic"": 0.01614975929260254, ""topology"": 0.01354606356471777, ""value"": 0.013859672471880913}",9.192200377583504e-05
braid_maze,11,braid_maze_11_seed1_goal0,1,1,0,"[""###########"", ""#S....#...#"", ""##.#..#.#.#"", ""#.......#.#"", ""#.#######.#"", ""#.#.....#.#"", ""#.#.###...#"", ""#...#.....#"", ""#####.###.#"", ""#........G#"", ""###########""]",0.1,constraint_aware_gnn,54,"[0, 1, 2, 53]","[0, 1, 53]",4,3,13.5,0.75,True,0.0,0.020798206329345703,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,0.040195940157286,0.00239404439243524,0.05404036274979873,0.0016212108824939634,0.00239404439243524,0.0035417110193520784,0.0011601890437304974,0.004804490017704666,1.211620036046952,2.0084964759880677,0.07884469500277191,0.006221071002073586,3.30998676805757,1.301737113040872,1.352361724129878,3.30998676805757,270.94178742050417,0.4036493024828488,0.4085701300019084,,constraint_candidate_top2,top2,"[""top2""]",0.006630090065300465,0.014264343306422234,0.0014074697392061353,0.005734415724873543,0.008404302410781384,"{""stochastic"": 0.6327324509620667, ""topology"": 0.3542981743812561, ""value"": 0.4035816788673401}","{""stochastic"": 0.014264343306422234, ""topology"": 0.01126373652368784, ""value"": 0.014042887836694717}",0.00010258995462208986
braid_maze,11,braid_maze_11_seed1_goal1,1,1,1,"[""###########"", ""#S....#...#"", ""##.#..#.#.#"", ""#.......#.#"", ""#.#######.#"", ""#.#.....#.#"", ""#.#.###...#"", ""#...#.....#"", ""#####.###.#"", ""#G........#"", ""###########""]",0.0,constraint_aware_gnn,54,"[0, 1, 45]","[0, 1, 45]",3,3,18.0,1.0,True,0.0,1.4683142304420471,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,7.105427357601002e-15,3.896697680632857e-16,7.105427357601002e-15,2.1316282072803025e-16,3.896697680632857e-16,0.0019847980001941323,0.001159565057605505,0.003239142009988427,0.6942148470552638,1.6452385419979692,0.03285230603069067,0.0031907230149954557,2.3787355601089075,0.7959600900067016,0.8280487840529531,2.3787355601089075,245.73176710135826,0.3397629349360065,0.3481045972235106,,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1"", ""nearest_start""]",0.0054653100669384,0.01663077063858509,0.0006593551370315254,0.003668170655146241,0.00798710435628891,"{""stochastic"": 0.6523082256317139, ""topology"": 0.32732629776000977, ""value"": 0.27900856733322144}","{""stochastic"": 0.01663077063858509, ""topology"": 0.011772144585847855, ""value"": 0.015439658425748348}",9.477895218878984e-05
braid_maze,11,braid_maze_11_seed1_goal1,1,1,1,"[""###########"", ""#S....#...#"", ""##.#..#.#.#"", ""#.......#.#"", ""#.#######.#"", ""#.#.....#.#"", ""#.#.###...#"", ""#...#.....#"", ""#####.###.#"", ""#G........#"", ""###########""]",0.05,constraint_aware_gnn,54,"[0, 1, 8, 45, 46]","[0, 1, 45]",5,3,10.8,0.6,True,0.0,0.010863542556762695,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,0.0011102729959588942,5.820582463666442e-05,0.0011103264534675361,3.330979360402611e-05,5.820582463666442e-05,0.0027275470783933997,0.0010203319834545255,0.0038410680135712028,1.3955770310712978,2.1293069910025224,0.1151604880578816,0.010436476906761527,3.6543220550520346,1.2584149569738656,1.3088269219733775,3.6543220550520346,327.6211076001917,0.3566202877376033,0.35815861389774,,constraint_candidate_top3,top3,"[""top3""]",0.00624614953994751,0.013701812364161015,0.0011008663568645716,0.004775448702275753,0.00788945984095335,"{""stochastic"": 0.6825103163719177, ""topology"": 0.33554354310035706, ""value"": 0.4014047384262085}","{""stochastic"": 0.013701812364161015, ""topology"": 0.01207240205258131, ""value"": 0.013051889836788177}",9.318895172327757e-05
braid_maze,11,braid_maze_11_seed1_goal1,1,1,1,"[""###########"", ""#S....#...#"", ""##.#..#.#.#"", ""#.......#.#"", ""#.#######.#"", ""#.#.....#.#"", ""#.#.###...#"", ""#...#.....#"", ""#####.###.#"", ""#G........#"", ""###########""]",0.1,constraint_aware_gnn,54,"[0, 1, 2, 45, 46]","[0, 1, 45]",5,3,10.8,0.6,True,0.0,0.031163930892944336,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,0.004649828343286089,0.0002326880858811245,0.0046498391139842,0.0001394951734195261,0.0002326880858811245,0.0026107439771294594,0.0011720889015123248,0.003875305876135826,1.5225257480051368,2.4613044440047815,0.13216149504296482,0.011706319055519998,4.131573311984539,1.5334181529469788,1.5911577589577064,4.131573311984539,395.689579599325,0.38453645931472824,0.3851215115419113,,constraint_candidate_top3,top3,"[""top3""]",0.0062133935280144215,0.01371571235358715,0.0011806030524894595,0.005008297506719828,0.007908209227025509,"{""stochastic"": 0.6590576767921448, ""topology"": 0.3312912583351135, ""value"": 0.39311811327934265}","{""stochastic"": 0.013532918877899647, ""topology"": 0.01164038572460413, ""value"": 0.01371571235358715}",9.247299749404192e-05
braid_maze,11,braid_maze_11_seed2_goal0,2,2,0,"[""###########"", ""#S#.......#"", ""#.#.##..#.#"", ""#...#...#.#"", ""###.#.###.#"", ""#.#.#.....#"", ""#.#.#.....#"", ""#.#.#.#.#.#"", ""#.#.###.#.#"", ""#.......#G#"", ""###########""]",0.0,constraint_aware_gnn,54,"[0, 8, 53]","[0, 8, 53]",3,3,18.0,1.0,True,0.0,0.8658289909362793,nan,nan,nan,True,True,True,3,0.0,0.0,"{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 0.0, ""value"": 0.0}",False,3.552713678800501e-15,2.3362579729453317e-16,3.552713678800501e-15,1.0658141036401512e-16,2.3362579729453317e-16,0.0020281600300222635,0.001196473021991551,0.003317522117868066,0.764274924993515,1.3086079050553963,0.02563578903209418,0.002047187997959554,2.103883329196833,0.6973218710627407,0.724592486047186,2.103883329196833,210.19358614279852,0.33586444118218,0.34440716174304326,,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1"", ""nearest_start""]",0.004942333325743675,0.015338419936597347,0.0007760769804008305,0.003933228086680174,0.00738998968154192,"{""stochastic"": 0.549549400806427, ""topology"": 0.3466612696647644, ""value"": 0.33135169744491577}","{""stochastic"": 0.014263886958360672, ""topology"": 0.010665680281817913, ""value"": 0.015338419936597347}",9.288906585425138e-05
