option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,reward,map,slip,step
fb_001_to_003,4,"(1, 5)",26,"(3, 7)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,3
fb_002_to_003,24,"(3, 5)",26,"(3, 7)",2.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,3
fb_004_to_003,50,"(5, 11)",26,"(3, 7)",6.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,3
fb_000_to_004,0,"(1, 1)",50,"(5, 11)",14.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,3
fb_001_to_004,4,"(1, 5)",50,"(5, 11)",10.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,3
fb_002_to_004,24,"(3, 5)",50,"(5, 11)",8.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,3
fb_003_to_004,26,"(3, 7)",50,"(5, 11)",6.0,True,False,0.0,1.0,0.9409,46,"(5, 7)",1.0,-1.97,four_rooms,0.0,3
fb_001_to_000,4,"(1, 5)",0,"(1, 1)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-3.823573,four_rooms,0.0,4
fb_002_to_000,24,"(3, 5)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_003_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_004_to_000,46,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_005_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,4
fb_000_to_001,0,"(1, 1)",4,"(1, 5)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-3.823573,four_rooms,0.0,4
fb_002_to_001,24,"(3, 5)",4,"(1, 5)",2.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_003_to_001,26,"(3, 7)",4,"(1, 5)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_004_to_001,46,"(5, 7)",4,"(1, 5)",6.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_005_to_001,50,"(5, 11)",4,"(1, 5)",10.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,4
fb_000_to_002,0,"(1, 1)",24,"(3, 5)",6.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,4
fb_001_to_002,4,"(1, 5)",24,"(3, 5)",2.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_003_to_002,26,"(3, 7)",24,"(3, 5)",2.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_004_to_002,46,"(5, 7)",24,"(3, 5)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
